index,name,category,source,native_width,native_height,print_file,canvas_width,canvas_height,canvas_ppi
37,Two of Cups,cups,raw-fronts/37-two-of-cups-dark-v2.png,971,1619,print-ready/fronts/37.png,1795,2976,600
38,Three of Cups,cups,raw-fronts/38-three-of-cups-dark-v2.png,971,1619,print-ready/fronts/38.png,1795,2976,600
39,Four of Cups,cups,raw-fronts/39-four-of-cups-dark-v2.png,971,1619,print-ready/fronts/39.png,1795,2976,600
40,Five of Cups,cups,raw-fronts/40-five-of-cups-dark-v2.png,971,1619,print-ready/fronts/40.png,1795,2976,600
41,Six of Cups,cups,raw-fronts/41-six-of-cups-dark-v2.png,971,1619,print-ready/fronts/41.png,1795,2976,600
42,Seven of Cups,cups,raw-fronts/42-seven-of-cups-dark-v2.png,971,1619,print-ready/fronts/42.png,1795,2976,600
43,Eight of Cups,cups,raw-fronts/43-eight-of-cups-dark-v2.png,971,1619,print-ready/fronts/43.png,1795,2976,600
44,Nine of Cups,cups,raw-fronts/44-nine-of-cups-dark-v3.png,971,1619,print-ready/fronts/44.png,1795,2976,600
45,Ten of Cups,cups,raw-fronts/45-ten-of-cups-dark-v3.png,971,1619,print-ready/fronts/45.png,1795,2976,600
46,Page of Cups,cups,raw-fronts/46-page-of-cups-dark-v2.png,971,1619,print-ready/fronts/46.png,1795,2976,600
47,Knight of Cups,cups,raw-fronts/47-knight-of-cups-dark-v2.png,971,1619,print-ready/fronts/47.png,1795,2976,600
48,Queen of Cups,cups,raw-fronts/48-queen-of-cups-dark-v2.png,971,1619,print-ready/fronts/48.png,1795,2976,600
49,King of Cups,cups,raw-fronts/49-king-of-cups-dark-v2.png,972,1619,print-ready/fronts/49.png,1795,2976,600
50,Ace of Swords,swords,raw-fronts/50-ace-of-swords-dark-v2.png,971,1619,print-ready/fronts/50.png,1795,2976,600
51,Two of Swords,swords,raw-fronts/51-two-of-swords-dark-v2.png,971,1619,print-ready/fronts/51.png,1795,2976,600
52,Three of Swords,swords,raw-fronts/52-three-of-swords-dark-v2.png,971,1619,print-ready/fronts/52.png,1795,2976,600
53,Four of Swords,swords,raw-fronts/53-four-of-swords-dark-v2.png,971,1619,print-ready/fronts/53.png,1795,2976,600
54,Five of Swords,swords,raw-fronts/54-five-of-swords-dark-v2.png,971,1619,print-ready/fronts/54.png,1795,2976,600
55,Six of Swords,swords,raw-fronts/55-six-of-swords-dark-v2.png,971,1619,print-ready/fronts/55.png,1795,2976,600
56,Seven of Swords,swords,raw-fronts/56-seven-of-swords-dark-v3.png,971,1619,print-ready/fronts/56.png,1795,2976,600
57,Eight of Swords,swords,raw-fronts/57-eight-of-swords-dark-v2.png,971,1619,print-ready/fronts/57.png,1795,2976,600
58,Nine of Swords,swords,raw-fronts/58-nine-of-swords-dark-v2.png,971,1619,print-ready/fronts/58.png,1795,2976,600
59,Ten of Swords,swords,raw-fronts/59-ten-of-swords-dark-v2.png,971,1619,print-ready/fronts/59.png,1795,2976,600
60,Page of Swords,swords,raw-fronts/60-page-of-swords-dark-v2.png,971,1619,print-ready/fronts/60.png,1795,2976,600
61,Knight of Swords,swords,raw-fronts/61-knight-of-swords-dark-v2.png,971,1619,print-ready/fronts/61.png,1795,2976,600
62,Queen of Swords,swords,raw-fronts/62-queen-of-swords-dark-v2.png,971,1619,print-ready/fronts/62.png,1795,2976,600
63,King of Swords,swords,raw-fronts/63-king-of-swords-dark-v2.png,971,1619,print-ready/fronts/63.png,1795,2976,600
64,Ace of Pentacles,pentacles,raw-fronts/64-ace-of-pentacles-dark-v2.png,971,1619,print-ready/fronts/64.png,1795,2976,600
65,Two of Pentacles,pentacles,raw-fronts/65-two-of-pentacles-dark-v2.png,971,1619,print-ready/fronts/65.png,1795,2976,600
66,Three of Pentacles,pentacles,raw-fronts/66-three-of-pentacles-dark-v2.png,971,1619,print-ready/fronts/66.png,1795,2976,600
67,Four of Pentacles,pentacles,raw-fronts/67-four-of-pentacles-dark-v2.png,972,1619,print-ready/fronts/67.png,1795,2976,600
68,Five of Pentacles,pentacles,raw-fronts/68-five-of-pentacles-dark-v2.png,971,1619,print-ready/fronts/68.png,1795,2976,600
69,Six of Pentacles,pentacles,raw-fronts/69-six-of-pentacles-dark-v2.png,971,1619,print-ready/fronts/69.png,1795,2976,600
70,Seven of Pentacles,pentacles,raw-fronts/70-seven-of-pentacles-dark-v3.png,971,1619,print-ready/fronts/70.png,1795,2976,600
71,Eight of Pentacles,pentacles,raw-fronts/71-eight-of-pentacles-dark-v3.png,971,1619,print-ready/fronts/71.png,1795,2976,600
72,Nine of Pentacles,pentacles,raw-fronts/72-nine-of-pentacles-dark-v2.png,971,1619,print-ready/fronts/72.png,1795,2976,600
73,Ten of Pentacles,pentacles,raw-fronts/73-ten-of-pentacles-dark-v2.png,971,1619,print-ready/fronts/73.png,1795,2976,600
74,Page of Pentacles,pentacles,raw-fronts/74-page-of-pentacles-dark-v2.png,971,1619,print-ready/fronts/74.png,1795,2976,600
75,Knight of Pentacles,pentacles,raw-fronts/75-knight-of-pentacles-dark-v2.png,971,1619,print-ready/fronts/75.png,1795,2976,600
76,Queen of Pentacles,pentacles,raw-fronts/76-queen-of-pentacles-dark-v2.png,971,1619,print-ready/fronts/76.png,1795,2976,600
77,King of Pentacles,pentacles,raw-fronts/77-king-of-pentacles-dark-v2.png,971,1619,print-ready/fronts/77.png,1795,2976,600
back,Card back,back,raw-backs/back-dark-v2.png,971,1619,print-ready/back.png,1795,2976,600
