index,name,raw_front,print_front,category
58,"Nine of Swords",raw-fronts/swords-09-art.png,print-ready/fronts/swords-09-art.png,swords
59,"Ten of Swords",raw-fronts/swords-10-art.png,print-ready/fronts/swords-10-art.png,swords
60,"Page of Swords",raw-fronts/swords-page-art.png,print-ready/fronts/swords-page-art.png,swords
61,"Knight of Swords",raw-fronts/swords-knight-art.png,print-ready/fronts/swords-knight-art.png,swords
62,"Queen of Swords",raw-fronts/swords-queen-art.png,print-ready/fronts/swords-queen-art.png,swords
63,"King of Swords",raw-fronts/swords-king-art.png,print-ready/fronts/swords-king-art.png,swords
64,"Ace of Pentacles",raw-fronts/pentacles-ace-art.png,print-ready/fronts/pentacles-ace-art.png,pentacles
65,"Two of Pentacles",raw-fronts/pentacles-02-art.png,print-ready/fronts/pentacles-02-art.png,pentacles
66,"Three of Pentacles",raw-fronts/pentacles-03-art.png,print-ready/fronts/pentacles-03-art.png,pentacles
67,"Four of Pentacles",raw-fronts/pentacles-04-art.png,print-ready/fronts/pentacles-04-art.png,pentacles
68,"Five of Pentacles",raw-fronts/pentacles-05-art.png,print-ready/fronts/pentacles-05-art.png,pentacles
69,"Six of Pentacles",raw-fronts/pentacles-06-art.png,print-ready/fronts/pentacles-06-art.png,pentacles
70,"Seven of Pentacles",raw-fronts/pentacles-07-art.png,print-ready/fronts/pentacles-07-art.png,pentacles
71,"Eight of Pentacles",raw-fronts/pentacles-08-art.png,print-ready/fronts/pentacles-08-art.png,pentacles
72,"Nine of Pentacles",raw-fronts/pentacles-09-art.png,print-ready/fronts/pentacles-09-art.png,pentacles
73,"Ten of Pentacles",raw-fronts/pentacles-10-art.png,print-ready/fronts/pentacles-10-art.png,pentacles
74,"Page of Pentacles",raw-fronts/pentacles-page-art.png,print-ready/fronts/pentacles-page-art.png,pentacles
75,"Knight of Pentacles",raw-fronts/pentacles-knight-art.png,print-ready/fronts/pentacles-knight-art.png,pentacles
76,"Queen of Pentacles",raw-fronts/pentacles-queen-art.png,print-ready/fronts/pentacles-queen-art.png,pentacles
77,"King of Pentacles",raw-fronts/pentacles-king-art.png,print-ready/fronts/pentacles-king-art.png,pentacles
